time;tem_1;plant_1;tem_2;plant_2;plant_3;tem_3
07-02-23 18:52;0;-0.49;0;-0.09;-0.08;0
07-02-23 19:02;0;-0.33;-0.09;1.15;-0.77;0
07-02-23 19:12;-0.14;0.55;-0.27;1.84;-1.8;0
07-02-23 19:22;-0.28;0.35;-0.45;2.48;-2.62;0
07-02-23 19:32;-0.42;-0.48;-0.6;3.03;-3.19;0
07-02-23 19:42;-0.57;0.72;-0.76;3.37;-3.76;0
07-02-23 19:52;-0.72;-1.75;-0.91;3.65;-4.45;0
07-02-23 20:02;-0.86;-0.41;-1.08;3.87;-4.97;0
07-02-23 20:12;-1;0.46;-1.24;3.99;-5.63;0
07-02-23 20:22;-1.14;1;-1.38;4.07;-6.04;0
07-02-23 20:32;-1.28;-0.81;-1.53;4.11;-6.75;0
07-02-23 20:42;-1.42;-0.32;-1.69;4.14;-7.37;0
07-02-23 20:52;-1.57;-1.58;-1.85;4.18;-7.89;0
07-02-23 21:02;-1.71;-0.71;-2;4.29;-8.24;0
07-02-23 21:12;-1.85;-2.41;-2.15;4.31;-8.62;0
07-02-23 21:22;-2;-0.57;-2.3;4.33;-8.99;0
07-02-23 21:32;-2.12;-0.89;-2.45;4.31;-9.4;0
07-02-23 21:42;-2.26;-1.12;-2.61;4.27;-10.01;-0.03
07-02-23 21:52;-2.4;-0.44;-2.77;4.27;-10.37;-0.2
07-02-23 22:02;-2.54;-0.53;-2.93;4.25;-10.63;-0.36
07-02-23 22:12;-2.66;0.09;-3.07;4.64;-9.34;-0.52
07-02-23 22:22;-2.78;0.75;-3.21;4.83;-8.82;-0.67
07-02-23 22:32;-2.91;0.7;-3.35;4.93;-8.69;-0.83
07-02-23 22:42;-3.04;1.41;-3.51;5;-8.6;-1
07-02-23 22:52;-3.16;1.01;-3.68;5.05;-8.56;-1.17
07-02-23 23:02;-3.29;-0.29;-3.83;5.08;-8.56;-1.33
07-02-23 23:12;-3.42;1.04;-3.99;5.04;-8.72;-1.49
07-02-23 23:22;-3.56;-0.23;-4.13;5.02;-8.71;-1.66
07-02-23 23:32;-3.7;1.65;-4.28;4.96;-8.95;-1.83
07-02-23 23:42;-3.83;1.23;-4.43;4.92;-8.99;-1.99
07-02-23 23:52;-3.96;0.01;-4.58;4.79;-9.51;-2.14
08-02-23 00:02;-4.1;0.91;-4.72;4.7;-9.77;-2.3
08-02-23 00:12;-4.23;-0.85;-4.86;4.63;-9.96;-2.46
08-02-23 00:22;-4.37;0.24;-5.01;4.57;-10.17;-2.62
08-02-23 00:32;-4.5;1.28;-5.15;4.5;-10.28;-2.77
