time;plant_1;tem_1;plant_2;tem_2;plant_3;tem_3
45687.58142;0;0;0;0;0;0
45687.58837;-2.24;-0.04;-1.51;-0.02;0.39;-0.03
45687.5953;-2.26;-0.08;-2.47;-0.07;0.48;-0.05
45687.60225;-1.95;-0.11;-1.81;-0.1;0.54;-0.06
45687.60919;-1.8;-0.14;-2.79;-0.14;-1.99;-0.09
45687.61613;-2.69;-0.16;-2.04;-0.16;-2.63;-0.08
45687.62308;-2.45;-0.16;-2.2;-0.17;-2.29;-0.07
45687.63002;-4.4;-0.2;-2.99;-0.21;-2.75;-0.08
45687.63697;-2.92;-0.26;-2.38;-0.25;-2.64;-0.1
45687.64391;-2.48;-0.29;-1.96;-0.3;-2.32;-0.12
45687.65086;-4.41;-0.31;-3.33;-0.33;-3.89;-0.12
45687.6578;-3.92;-0.36;-3.05;-0.35;-2.02;-0.13
45687.66475;-3.83;-0.39;-2.58;-0.4;-2.01;-0.14
45687.67169;-3.98;-0.42;-2.78;-0.43;-1.94;-0.15
45687.67863;-4.8;-0.46;-2.78;-0.46;-2.41;-0.16
45687.68558;-2.85;-0.49;-2.72;-0.5;-3;-0.18
45687.69252;-3.82;-0.53;-3.57;-0.54;-2.21;-0.21
45687.69946;-2.82;-0.59;-3.48;-0.59;-3.4;-0.23
45687.7064;-3.99;-0.58;-3.82;-0.62;-2.61;-0.26
45687.71334;-3.66;-0.64;-3.69;-0.67;-4.79;-0.26
45687.72029;-6.05;-0.69;-3.84;-0.72;-5.07;-0.3
45687.72723;-4.34;-0.73;-4.34;-0.76;-5.78;-0.32
45687.73418;-5.63;-0.76;-5.44;-0.79;-5.94;-0.33
45687.74112;-5.33;-0.78;-3.82;-0.83;-5.92;-0.34
45687.74807;-3.72;-0.82;-4.23;-0.86;-6.22;-0.36
45687.75501;-5.42;-0.85;-4.03;-0.9;-3.92;-0.36
45687.76196;-5.65;-0.88;-3.72;-0.93;-5;-0.38
45687.7689;-4.5;-0.9;-3.72;-0.97;-4.58;-0.4
45687.77584;-5.17;-0.94;-3.38;-1;-5.07;-0.41
45687.78279;-4.22;-0.97;-3.42;-1.05;-4.2;-0.45
45687.78973;-4.68;-1;-2.47;-1.08;-4.34;-0.48
45687.79668;-4.17;-1.04;-1.95;-1.12;-3.36;-0.49
