time;enc_1;enc_2;enc_3;enc_4;enc_5;enc_6
08-02-23 15:56;0;0;0;0;0;0
08-02-23 16:06;1;-13;0;0;0;0
08-02-23 16:16;1;-13;0;-1;0;0
08-02-23 16:26;1;-13;0;-1;-1;0
08-02-23 16:36;1;-13;0;-2;-2;0
08-02-23 16:46;1;-13;0;-3;-3;0
08-02-23 16:56;1;-12;0;-3;-4;0
08-02-23 17:06;1;-11;0;-4;-4;0
08-02-23 17:16;1;-11;0;-4;-5;0
08-02-23 17:26;1;-10;0;-5;-6;0
08-02-23 17:36;1;-9;0;-6;-6;0
08-02-23 17:46;1;-9;0;-6;-7;0
08-02-23 17:56;1;-8;0;-7;-8;0
08-02-23 18:06;1;-8;0;-7;-8;0
08-02-23 18:16;1;-7;0;-7;-9;0
08-02-23 18:26;1;-7;0;-7;-9;0
08-02-23 18:36;1;-7;0;-7;-9;0
08-02-23 18:46;1;-6;0;-8;-10;0
08-02-23 18:56;1;-5;0;-9;-11;0
08-02-23 19:06;1;-5;0;-9;-11;0
08-02-23 19:16;1;-5;0;-9;-12;0
08-02-23 19:26;1;-4;0;-10;-13;0
08-02-23 19:36;1;-4;0;-10;-13;0
08-02-23 19:46;1;-4;0;-10;-14;0
08-02-23 19:56;1;-4;0;-12;-14;0
08-02-23 20:06;1;-4;0;-12;-15;0
08-02-23 20:16;1;-4;0;-13;-16;0
08-02-23 20:26;1;-4;0;-13;-17;0
08-02-23 20:36;1;-4;0;-13;-17;0
08-02-23 20:46;1;-4;0;-14;-18;0
08-02-23 20:56;1;-4;0;-14;-19;0
08-02-23 21:06;1;-4;0;-16;-19;0
08-02-23 21:16;1;-4;0;-16;-20;0
08-02-23 21:26;1;-4;0;-16;-20;0
08-02-23 21:36;1;-4;0;-17;-21;0
08-02-23 21:46;1;-4;0;-18;-22;0
08-02-23 21:56;1;-4;0;-18;-22;0
08-02-23 22:06;1;-4;0;-18;-23;0
08-02-23 22:16;1;-4;0;-19;-24;0
08-02-23 22:26;1;-4;0;-19;-25;0
08-02-23 22:36;1;-4;0;-19;-26;0
08-02-23 22:46;1;-4;0;-19;-27;0
08-02-23 22:56;1;-4;0;-19;-28;0
08-02-23 23:06;1;-4;0;-19;-28;0
08-02-23 23:16;1;-4;0;-19;-29;0
08-02-23 23:26;1;-4;0;-19;-30;0
08-02-23 23:36;1;-4;0;-19;-30;0
08-02-23 23:46;1;-4;0;-19;-31;0
08-02-23 23:56;1;-4;0;-19;-32;0
09-02-23 00:06;1;-4;0;-19;-32;0
09-02-23 00:16;1;-4;0;-19;-33;0
09-02-23 00:26;1;-4;0;-19;-34;0
09-02-23 00:36;1;-4;0;-19;-34;0
09-02-23 00:46;1;-4;0;-19;-35;0
09-02-23 00:56;1;-4;0;-19;-35;0
09-02-23 01:06;1;-4;0;-19;-36;0
09-02-23 01:16;1;-4;0;-19;-37;0
09-02-23 01:26;1;-4;0;-19;-37;0
09-02-23 01:36;1;-4;0;-19;-38;0
09-02-23 01:46;1;-4;0;-19;-39;0
09-02-23 01:56;1;-4;0;-19;-39;0
09-02-23 02:06;1;-4;0;-19;-40;0
09-02-23 02:16;1;-4;0;-19;-41;0
09-02-23 02:26;1;-4;0;-19;-41;0
09-02-23 02:36;1;-4;0;-19;-42;0
09-02-23 02:46;1;-4;0;-19;-42;0
09-02-23 02:56;1;-4;0;-19;-43;0
09-02-23 03:06;1;-4;0;-19;-44;0
09-02-23 03:16;1;-4;0;-19;-44;0
09-02-23 03:26;1;-4;0;-19;-44;0
09-02-23 03:36;1;-4;0;-19;-45;0
09-02-23 03:46;1;-4;0;-19;-46;0
09-02-23 03:56;1;-4;0;-19;-46;0
09-02-23 04:06;1;-4;0;-19;-47;0
09-02-23 04:16;1;-4;0;-19;-48;0
09-02-23 04:26;1;-4;0;-19;-48;0
09-02-23 04:36;1;-4;0;-19;-49;0
09-02-23 04:46;1;-4;0;-19;-50;0
09-02-23 04:56;1;-4;0;-19;-50;0
09-02-23 05:06;1;-4;0;-19;-51;0
09-02-23 05:16;1;-4;0;-19;-52;0
09-02-23 05:26;1;-4;0;-19;-52;0
09-02-23 05:36;1;-4;0;-19;-53;0
09-02-23 05:46;1;-4;0;-19;-54;0
09-02-23 05:56;1;-4;0;-19;-54;0
09-02-23 06:06;1;-4;0;-19;-54;0
09-02-23 06:16;1;-4;0;-19;-56;0
09-02-23 06:26;1;-4;0;-19;-56;0
09-02-23 06:36;1;-4;0;-19;-56;0
09-02-23 06:46;1;-4;0;-19;-56;0
09-02-23 06:56;1;-4;0;-19;-57;0
09-02-23 07:06;1;-4;0;-19;-58;0
09-02-23 07:16;1;-4;0;-19;-58;0
09-02-23 07:26;1;-4;0;-19;-58;0
09-02-23 07:36;1;-4;0;-19;-60;0
09-02-23 07:46;1;-4;0;-19;-60;0
09-02-23 07:56;1;-4;0;-19;-60;0
09-02-23 08:06;1;-4;0;-19;-62;0
09-02-23 08:16;1;-4;0;-19;-62;0
09-02-23 08:26;1;-4;0;-19;-82;1
09-02-23 08:36;1;-4;0;-19;-82;1
09-02-23 08:46;1;-4;0;-19;-82;1
09-02-23 08:56;1;-4;0;-19;-82;1
09-02-23 09:06;1;-4;0;-19;-83;1
09-02-23 09:16;1;-4;0;-19;-84;1
09-02-23 09:26;1;-4;0;-19;-84;1
09-02-23 09:36;1;-4;0;-19;-84;1
09-02-23 09:46;1;-4;0;-19;-85;1
09-02-23 09:56;1;-4;0;-19;-86;1
09-02-23 10:06;1;-4;0;-19;-87;1
09-02-23 10:16;1;-4;0;-19;-87;1
09-02-23 10:26;1;-4;0;-39;-88;1
09-02-23 10:36;1;-4;0;-39;-89;1
09-02-23 10:46;1;-4;0;-40;-89;1
09-02-23 10:56;1;-4;0;-40;-90;1
09-02-23 11:06;1;-4;0;-41;-91;1
09-02-23 11:16;1;2;0;-42;-92;1
09-02-23 11:26;1;2;0;-42;-93;1
09-02-23 11:36;1;4;0;-43;-93;1
09-02-23 11:46;1;4;0;-44;-94;1
09-02-23 11:56;1;5;0;-44;-95;1
09-02-23 12:06;1;6;0;-45;-96;1
09-02-23 12:16;1;6;0;-45;-96;1
09-02-23 12:26;1;7;0;-46;-97;1
09-02-23 12:36;1;8;0;-48;-98;1
09-02-23 12:46;1;9;0;-48;-100;1
