time;rang_f;pos_f;face_f;PAR;cond
13-02-24 15:20;1;milieu;abaxiale;90;620
13-02-24 15:35;1;milieu;abaxiale;75;228
15-02-24 09:57;1;milieu;abaxiale;115;450
20-02-24 15:30;1;milieu;abaxiale;120;3400
20-02-24 15:30;1;milieu;abaxiale;110;415
22-02-24 09:50;1;milieu;abaxiale;110;520
22-02-24 10:09;1;milieu;abaxiale;85;130
13-02-24 15:20;2;milieu;abaxiale;95;470
13-02-24 15:20;2;milieu;abaxiale;90;530
13-02-24 15:20;2;milieu;abaxiale;75;11
13-02-24 15:35;2;milieu;abaxiale;75;300
13-02-24 15:57;2;milieu;abaxiale;95;450
13-02-24 16:00;2;milieu;abaxiale;100;220
14-02-24 17:40;2;milieu;abaxiale;70;126
14-02-24 18:05;2;milieu;abaxiale;45;200
14-02-24 18:10;2;milieu;abaxiale;50;200
15-02-24 10:16;2;milieu;abaxiale;130;1570
15-02-24 10:18;2;milieu;abaxiale;140;560
15-02-24 10:20;2;milieu;abaxiale;140;1050
15-02-24 10:22;2;milieu;abaxiale;140;946
15-02-24 17:26;2;milieu;abaxiale;45;319
15-02-24 17:31;2;milieu;abaxiale;45;194
15-02-24 17:39;2;milieu;abaxiale;40;155
15-02-24 17:50;2;milieu;abaxiale;35;330
15-02-24 17:54;2;milieu;abaxiale;30;164
19-02-24 15:23;2;milieu;abaxiale;80;218
19-02-24 15:34;2;milieu;abaxiale;50;315
19-02-24 15:40;2;milieu;abaxiale;45;1000
19-02-24 15:55;2;milieu;abaxiale;180;1340
20-02-24 15:30;2;milieu;abaxiale;100;430
22-02-24 09:50;2;milieu;abaxiale;110;470
22-02-24 10:12;2;milieu;abaxiale;160;335
22-02-24 10:12;2;milieu;abaxiale;165;234
13-02-24 15:20;3;milieu;abaxiale;75;14
14-02-24 17:49;3;milieu;abaxiale;25;500
15-02-24 09:51;3;milieu;abaxiale;110;1000
15-02-24 10:00;3;milieu;abaxiale;110;460
15-02-24 10:00;3;milieu;abaxiale;120;510
15-02-24 10:03;3;milieu;abaxiale;120;630
20-02-24 15:30;3;milieu;abaxiale;135;2400
22-02-24 09:50;3;milieu;abaxiale;110;630
22-02-24 10:12;3;milieu;abaxiale;145;520
22-02-24 10:12;3;milieu;abaxiale;150;1010
13-02-24 15:20;4;milieu;abaxiale;80;18.2
22-02-24 10:05;5;milieu;abaxiale;95;730
22-02-24 10:12;5;milieu;abaxiale;120;540
