date,heure,rang_f,état_f,face_f,cond,PAR,remarque
10/02/2026,15:24,5,Bien développée,Abaxiale,144,163,/
10/02/2026,15:26,5,Bien développée,Adaxiale,19,163,/
10/02/2026,15:29,1,Vieille,Abaxiale,30,122,La valeur de la lumière serait inversée du au capteur qui est situé du côté opposé à la feuille étudiée 
10/02/2026,15:30,1,Vieille,Adaxiale,24,122,
10/02/2026,15:42,3,Bien développée,Abaxiale,76,136,
10/02/2026,15:46,3,Bien développée,Adaxiale,5,136,
10/02/2026,15:48,7,Jeune,Adaxiale,25,129,
10/02/2026,15:49,7,Jeune,Abaxiale,19,129,
10/02/2026,15:58,5,Bien développée,Abaxiale,122,114,
11/02/2026,17:33,1,Bien développée,Abaxiale,62,42,
11/02/2026,17:35,3,Bien développée,Adaxiale,5,42,
11/02/2026,17:36,3,Bien développée,Abaxiale,83,81,
11/02/2026,17:51,1,Vieille,Abaxiale,80,76,un peu defraichie
11/02/2026,17:53,1,Vieille,Adaxiale,14,80,
11/02/2026,17:55,5,Bien développée,Abaxiale,67,85,
11/02/2026,17:57,3,Bien développée,Abaxiale,77,101,
11/02/2026,18:13,5,Bien développée,Abaxiale,57,119,
11/02/2026,18:15,3,Bien développée,Adaxiale,84,99,
11/02/2026,18:17,1,Bien développée,Abaxiale,165,98,
12/02/2026,10:32,1,Vieille,Abaxiale,92,86,
12/02/2026,17:31,3,Bien développée,Abaxiale,82,133,
12/02/2026,17:32,1,Bien développée,Adaxiale,15,133,
12/02/2026,17:48,1,Vieille,Abaxiale,55,100,
12/02/2026,17:49,1,Vieille,Adaxiale,7,100,
12/02/2026,17:51,3,Bien développée,Abaxiale,100,96,
12/02/2026,17:53,3,Bien développée,Adaxiale,15,100,
12/02/2026,18:08,3,Bien développée,Abaxiale,124,120,
12/02/2026,18:10,1,Vieille,Abaxiale,142,96,
12/02/2026,18:12,3,Bien développée,Adaxiale,84,90,la feuille est morte
12/02/2026,18:15,1,Vieille,Abaxiale,53,100,
12/02/2026,18:15,1,Vieille,Adaxiale,28,105,
12/02/2026,18:16,1,Vieille,Abaxiale,54,100,
12/02/2026,18:17,5,Bien développée,Abaxiale,22,115,
12/02/2026,18:18,5,Bien développée,Adaxiale,26,113,
12/02/2026,18:18,7,Jeune,Abaxiale,7,113,
12/02/2026,18:18,7,Jeune,Adaxiale,6,110,
17/02/2026,15:10,4,Bien développée,Abaxiale,654,150,
17/02/2026,15:13,4,Bien développée,Adaxiale,121,150,
17/02/2026,15:15,6,Bien développée,Abaxiale,712,150,
17/02/2026,15:16,6,Bien développée,Adaxiale,233,150,
17/02/2026,15:25,4,Bien développée,Abaxiale,107,163,
17/02/2026,15:26,4,Bien développée,Adaxiale,30,163,
17/02/2026,15:28,9,Jeune,Abaxiale,594,160,
17/02/2026,15:29,9,Jeune,Adaxiale,86,160,
17/02/2026,15:40,8,Jeune,Abaxiale,441,108,
17/02/2026,15:42,8,Jeune,Adaxiale,32,108,
17/02/2026,15:43,1,Vieille,Abaxiale,118,100,
17/02/2026,15:43,1,Vieille,Adaxiale,15,100,
17/02/2026,15:45,10,Jeune,Abaxiale,196,136,
17/02/2026,15:46,10,Jeune,Adaxiale,17,136,
