time;pot_1;pot_2;pot_3;pot_4;pot_5;pot_6
2025-01-28 10:00:00 UTC;0;0;0;0;0;0
2025-01-28 10:03:00 UTC;0;0;0;0;0;0
2025-01-28 10:06:00 UTC;0;0;0;0;0;0
2025-01-28 10:09:00 UTC;0;0;0;0;0;0
2025-01-28 10:12:00 UTC;0;0;0;0;0;0
2025-01-28 10:15:00 UTC;0;0;0;0;0;0
2025-01-28 10:18:00 UTC;0;0;0;0;0;0
2025-01-28 10:21:00 UTC;0;0;0;0;0;0
2025-01-28 10:24:00 UTC;0;0;0;0;0;0
2025-01-28 10:27:00 UTC;0;0;0;0;0;0
2025-01-28 10:30:00 UTC;0;0;0;0;0;-1
2025-01-28 10:33:01 UTC;0;0;0;0;0;-1
2025-01-28 10:36:01 UTC;0;0;0;0;0;-1
2025-01-28 10:39:01 UTC;0;0;0;0;0;-1
2025-01-28 10:42:01 UTC;0;0;0;0;0;-2
2025-01-28 10:45:01 UTC;0;1;0;0;0;-2
2025-01-28 10:48:01 UTC;0;1;0;0;0;-2
2025-01-28 10:51:01 UTC;0;1;0;0;0;-2
2025-01-28 10:54:01 UTC;0;1;0;0;0;-2
2025-01-28 10:57:01 UTC;0;1;0;0;0;-2
2025-01-28 11:00:01 UTC;0;1;0;0;0;-2
2025-01-28 11:03:01 UTC;0;1;0;0;0;-2
2025-01-28 11:06:01 UTC;0;2;0;0;0;-2
2025-01-28 11:09:02 UTC;0;2;0;0;0;-2
2025-01-28 11:12:02 UTC;0;2;0;0;0;-2
2025-01-28 11:15:02 UTC;0;2;0;0;0;-2
2025-01-28 11:18:02 UTC;0;2;0;0;0;-3
2025-01-28 11:21:02 UTC;0;2;0;0;0;-3
2025-01-28 11:24:02 UTC;0;2;0;0;0;-3
2025-01-28 11:27:02 UTC;0;2;0;0;0;-3
2025-01-28 11:30:02 UTC;0;2;0;0;0;-3
2025-01-28 11:33:02 UTC;0;2;0;0;0;-3
2025-01-28 11:36:02 UTC;0;2;0;0;0;-3
2025-01-28 11:39:02 UTC;0;2;0;0;0;-3
2025-01-28 11:42:02 UTC;0;2;0;0;0;-4
2025-01-28 11:45:03 UTC;0;2;0;0;0;-4
2025-01-28 11:48:03 UTC;0;3;0;0;0;-4
2025-01-28 11:51:03 UTC;0;3;0;0;0;-4
2025-01-28 11:54:03 UTC;0;3;0;0;0;-4
2025-01-28 11:57:03 UTC;0;3;0;0;0;-4
2025-01-28 12:00:03 UTC;0;3;0;0;0;-4
2025-01-28 12:03:03 UTC;0;4;0;0;0;-4
2025-01-28 12:06:03 UTC;0;4;0;0;0;-5
2025-01-28 12:09:03 UTC;0;4;0;0;0;-5
2025-01-28 12:12:03 UTC;0;4;0;0;0;-6
2025-01-28 12:15:03 UTC;0;4;0;1;0;-6
2025-01-28 12:18:03 UTC;0;5;0;1;0;-6
2025-01-28 12:21:03 UTC;0;5;0;1;0;-6
2025-01-28 12:24:04 UTC;0;6;0;1;0;-6
2025-01-28 12:27:04 UTC;0;6;0;1;0;-6
2025-01-28 12:30:04 UTC;0;6;0;1;0;-6
2025-01-28 12:33:04 UTC;0;6;0;1;0;-6
2025-01-28 12:36:04 UTC;0;6;0;1;0;-6
2025-01-28 12:39:04 UTC;0;6;0;1;0;-6
2025-01-28 12:42:04 UTC;0;6;0;1;0;-7
2025-01-28 12:45:04 UTC;0;6;0;1;0;-7
2025-01-28 12:48:04 UTC;0;7;0;1;0;-7
2025-01-28 12:51:04 UTC;0;7;0;2;0;-7
2025-01-28 12:54:04 UTC;0;7;0;2;0;-8
2025-01-28 12:57:05 UTC;0;7;0;2;0;-8
2025-01-28 13:00:05 UTC;0;7;0;2;0;-8
2025-01-28 13:03:05 UTC;0;7;0;2;0;-8
2025-01-28 13:06:05 UTC;0;8;0;2;0;-8
2025-01-28 13:09:05 UTC;0;8;0;2;0;-8
2025-01-28 13:12:05 UTC;0;8;0;2;0;-8
2025-01-28 13:15:05 UTC;0;8;0;2;0;-8
2025-01-28 13:18:05 UTC;0;8;0;2;0;-9
2025-01-28 13:21:05 UTC;0;8;0;2;0;-9
2025-01-28 13:24:05 UTC;0;8;0;2;0;-9
2025-01-28 13:27:05 UTC;0;8;0;2;0;-9
2025-01-28 13:30:05 UTC;0;8;0;2;0;-9
2025-01-28 13:33:06 UTC;0;8;0;2;0;-9
2025-01-28 13:36:06 UTC;0;8;0;2;0;-9
2025-01-28 13:39:06 UTC;0;8;0;2;0;-10
2025-01-28 13:42:06 UTC;0;9;0;2;0;-10
2025-01-28 13:45:06 UTC;0;9;0;3;0;-10
2025-01-28 13:48:06 UTC;0;9;0;3;0;-10
2025-01-28 13:51:06 UTC;0;9;0;3;0;-10
2025-01-28 13:54:06 UTC;0;10;0;3;0;-11
2025-01-28 13:57:06 UTC;0;10;0;3;0;-11
2025-01-28 14:00:06 UTC;0;10;0;3;0;-11
2025-01-28 14:03:06 UTC;0;10;0;3;0;-11
2025-01-28 14:06:06 UTC;0;10;0;3;0;-11
2025-01-28 14:09:06 UTC;0;10;0;3;0;-12
2025-01-28 14:12:06 UTC;0;10;0;3;0;-12
2025-01-28 14:15:07 UTC;0;11;0;3;0;-12
2025-01-28 14:18:07 UTC;0;11;0;3;0;-12
2025-01-28 14:21:07 UTC;0;11;0;3;0;-12
2025-01-28 14:24:07 UTC;0;11;0;3;0;-12
2025-01-28 14:27:07 UTC;0;11;0;3;0;-12
2025-01-28 14:30:07 UTC;0;12;0;4;0;-12
2025-01-28 14:33:07 UTC;0;12;0;4;0;-12
2025-01-28 14:36:07 UTC;0;12;0;4;0;-12
2025-01-28 14:39:07 UTC;0;12;0;4;0;-13
2025-01-28 14:42:07 UTC;0;12;0;4;0;-13
2025-01-28 14:45:07 UTC;0;12;0;4;0;-13
2025-01-28 14:48:07 UTC;0;12;0;4;0;-13
2025-01-28 14:51:07 UTC;0;12;0;4;0;-13
2025-01-28 14:54:08 UTC;0;12;0;4;0;-13
2025-01-28 14:57:08 UTC;0;12;0;4;0;-14
2025-01-28 15:00:08 UTC;0;12;0;4;0;-14
2025-01-28 15:03:08 UTC;0;12;0;5;0;-14
2025-01-28 15:06:08 UTC;0;13;0;5;0;-14
2025-01-28 15:09:08 UTC;0;13;0;5;0;-14
2025-01-28 15:12:08 UTC;0;13;0;5;0;-14
2025-01-28 15:15:08 UTC;0;13;0;5;0;-14
2025-01-28 15:18:08 UTC;0;14;0;6;0;-14
2025-01-28 15:21:08 UTC;0;14;0;6;0;-15
2025-01-28 15:24:08 UTC;0;14;0;6;0;-15
2025-01-28 15:27:08 UTC;0;14;0;6;0;-15
2025-01-28 15:30:09 UTC;0;14;0;6;0;-15
2025-01-28 15:33:09 UTC;0;14;0;7;0;-15
2025-01-28 15:36:09 UTC;0;14;0;7;0;-15
2025-01-28 15:39:09 UTC;0;15;0;7;0;-16
2025-01-28 15:42:09 UTC;0;15;0;7;0;-16
2025-01-28 15:45:09 UTC;0;15;0;7;0;-16
2025-01-28 15:48:09 UTC;0;15;0;7;0;-16
2025-01-28 15:51:09 UTC;0;16;0;7;0;-16
